n,seconds
1,0.00001217
2,0.00000169
3,0.000002706
4,0.000005567
5,0.000009371
6,0.0000179
7,0.0000389
8,0.000081831
9,0.000187006
10,0.000402437
11,0.000950224
12,0.002172602
13,0.003959106
14,0.008455341
15,0.017982512
16,0.038583288
17,0.085608461
18,0.179138334
19,0.368529129
20,0.78118545
21,1.578970885
22,3.269693077
